Q User,Q ID,Title,Questions Body,Q Score,Answer user,Answers Body,A Score,Tags
385592,71,Balancing ,How does balancing dynamics work?,8,317945,"It consists of an alliance between countries that, in the face of ascending power, brings together groups to face the hegemonic country and contain it.",2,IR Theory
366737,72,Bandwagoning,How does bandwagoning dynamics work?,5,348477,"The bandwagoning dynamic consists of the less powerful countries joining the policy imposed by the great power, and following it.",2,IR Theory
366550,73,Deterrence,What does deterrence mean?,4,330654,Hello! The concept of deterrence consists of threats of military retaliation organized by the leaders of a country in order to prevent another country from threatening or using military force in order to achieve its objectives.,1,IR Theory
373624,74,International Security,What is security studies?,3,308410,"According to Walt, security studies assume that conflict between states is always a possibility and that the use of military force has affected states and societies.",1,IR Theory
397894,75,Game ,What is a game?,2,323795,"Hi! In game theory, the games are formal representations of models of situations in which there are strategic interactions",2,Game Theory 
305272,76,Rational Choice,What does rational choice theory consist of?,9,344444,Hello! Rational choice theory refers to a set of simple hypotheses that help to analyze the behavior of agents in strategic interactions to solve games.,3,Game Theory 
380651,77,Inequality,Why is inequality a problem?,4,365784,"There are a range of reasons for inequality to be considered a problem. Violence, political instability, low economic growth, erosion of trust and social cohesion are reasons why it is a problem.",1,International Development
355567,78,Apply for exchange,How can I apply for an exchange progam?,23,382771,Every semester they send a new list of internationals universit for exchange. You only need to search for it and follow the steps that FGV requires.,7,Exchange program
319447,79,Exchange in Italy,"For the people that went to Italy, how was your experience?",2,319713,It was really good! A lot of spare time... If you know a bit of italian your internship will be 100 times better if you don't,1,Exchange program
385833,80,Oliver tests,Does anybody knows how to Oliver is with the corrections? ,37,391349,He is really soft with it. Usually he just gives our tests to his assistants to grade it,6,Brazilian Foreign Policy
328729,81,Extraclasses in R programimng,Can anybody give me extraclasses in R?,4,341296,"Yes, I can! Call me: (XX) XXXXX-XXXX :)",1,R
326256,82,Writting Skills,How can I develop my english writting skills?,3,385443,"FGV usually gives extraclasses. But if you don't like it, I would recommend take classes from particular teachers. ",2,English
305696,83,Classes World Cup,Why are we having classes during the world cup?,17,389553,I don't know bro... I really don't.,1,General
313998,84,Game Theory,Is game theory really that difficullt?,23,344111,"It is really difficult, but if you study and make every list it will be easier for you.",2,Game Theory 
391077,85,Rockafe,Why do we only have Rockafe in FGV?,9,371413,No one knows...,0,Rockafe
306612,86,Economic degree courses,Which courses are good for a better economics degree?,4,386696,"You can take classes at EESP. It requires a bit of math applied, but you can handle it with some hard work.",5,Macroeconomy
368742,87,FGV payment,Is FGV increasing the monthly payment next month?,7,393018,"No, they are not! But maybe next year...",1,General
339950,88,ENADE,Do we have ENADE every year?,4,349036,"No, only after 4 years.",1,ENADE
348185,89,Starbucks or FGV?,Is it cheaper to take coffee at the starbucks?,3,353486,"Yes it is. But you will have to leave FGV for a bit to take it. Nonetheless, you can order from your starbucks app and just pick it up when it is ready.",3,General
300751,90,FGV snacks,Which is the best snack at Rockafe?,43,385933,"Coxinha, no doubt.",18,General
326239,91,Number of absenses,How many times I can miss classes of 6 credits?,89,386089,"You can miss 10 times, if I am not mistaking.",31,SRA
305603,92,Oliver Van Gogh,Why is Oliver so similar to Van Gogh?,103,395282,Bro kkkkkkkkkk,0,Brazilian Foreign Policy
346351,93,Languages that Oliver speaks,How many languages can Oliver speak?,92,310708,A lot. I don't have a number... but a lot.,56,Brazilian Foreign Policy
346658,94,Hints for finance Internship,Can anyone give me hints on how to get an internship in finance?,6,347945,You can take some courses at EESP and then talk to the carrer center. They will give you better directions.,1,Microeconomics; Macroeconomics
314558,95,Data science complementary formation,"To the people that made the complementary formation on data science, is it worth it?",5,307961,Yes it is! You will learn a lot of nice things in there!,2,Data science
308559,96,Dropping courses,How can I drop a course I did not like?,157,329998,You just make a requirement at aonline. But you can always call SRA.,26,General
304471,97,FGV student's rank,Is the students rank of FGV important?,14,396225,"I mean, if you want to do extraclasses that have limited oportunities, then yes. But at the end we are all getting the same degree...",2,General
335298,98,Walkiria,Is Walkiria a good teacher?,250,376095,Yes a perfect one!,300,Data science
391369,99,Where does Oliver lives?,Does Oliver really live in the beach?,37,388952,"Yes he does! Him, his wife and his newborn! ",23,Brazilian Foreign Policy
336524,100,Endogeneity,Could anyone explain to me what's the meaning of endogeneity in econometrics?,14,336809,"Mathematically, endogeneity happens when one of the independent variables of a model is correlated with the model's error term. In linear regressions there are two relevant things to look at: (i) ommited variables and (ii) reverse causality. ",10,Econometrics
314611,101,Solving outliers when modeling time-series,"I intend to run a model to forecst the Brazilian industrial production in the next month. However, there are many outliers in my time-series. Whan can I do to solve that probelm?",10,320948,Try creating dummy variables for each outlier.,20,Economentrics; Time-series
353029,102,The Copenhagen School,Could anyone tell me what is a relevant concept for the Copenhagen School (in IR theory)?,30,372561,Securitization is one of their most relevant concepts. You should give a look into this: https://link.springer.com/chapter/10.1057/9781137307576_2,27,IR Theory
333451,103,R workspace,How can I clear my entire R workspace with code?,80,362808,Try rm(list = ls()),55,R 
335314,104,National politics and foreign policy,"Hello, everyone! I am currently writing an essay about the relationship between national and international politics in Brazil. Can anyone give me some hints on literature?",17,372742,Oh! That sounds nice. There is a book about American politics that might interest you: https://press.princeton.edu/books/hardcover/9780691165479/sailing-the-waters-edge,15,Foreign Policy; National Politics
333577,105,Brazilian politics and bad governance ,Can anyone advise me on a paper that connects Brazilian politics and bad governance?,132,335469,"Sure! There is this nice article by Eduardo and Matias, by the way: https://www.researchgate.net/profile/Matias-Spektor/publication/324535536_Brazil_The_Costs_of_Multiparty_Presidentialism/links/5bf691ea92851c6b27d1efd2/Brazil-The-Costs-of-Multiparty-Presidentialism.pdf",97,Brazilian Politics; Bad governance; Corruption
338209,106,Nice movies and IR,"Advise me on some nice IR related movies, please! ",19,332729,There is a nice show called Bortført.,100,Movie; IR
369166,107,UiO Exchange ,"Hello, guys! I am going to the University of Oslo as an exchange student next semester. Can anyone tell me which course is a must to take?",23,399017,"Sure! You should look if they are offering a course called ""Social Cognition and Emotion"" this fall. It's super nice.",10,Exchange program
361146,108,All syllabus ,Does anyone know where I can find the syllabi for the previous courses that were offered by the IR school?,24,382228,You can find it in intranet. All syllabi — for mandatory and optional courses — are there! ,12,Syllabus
310459,109,Predictive Analytics ,Is taking the predictive analytics elective course worth?,24,317605,"It is very hard, but totally worth. I learned a great deal about time-series analysis in this course. ",12,Predictive Analytics
307063,110,International norms - Localization,"Guys, what is the meaning of norm localization?",61,395942,"According to Acharya, who invented the concept, ""localization describes a complex process and outcome by which norm-takers build congruence between transnational norms (including norms previously institutionalized in a region) and local beliefs and practices.""",33,IR Theory
